date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,R007,warning
2012-01-03,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.2946,3.25,4.1,0.7,3.4498,1.97,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,510.0,125952.97,5.8,126.45,1106.0,15603.1,74.1,103.9,2169.39,2298.7529999999997,8695.987,-1.365225,-2.003161,-2.498415,-30.026999999999997,-46.989,-222.829,49.245537,34.344567,34.163503000000006,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,3.5009,4.0760000000000005,4.7516,4.9,5.943,5.9267,6.2,6.6726,5.85,5.4139,4.7822,4.3639,5.3204,4.5128,3.9377,650.0,1690.0,200.0,3.53,5.47,3.6,6.3001,6.2946,6.2762,6.3013,117.68,22.9,113.8,125952.97,24564.7,5187.7319,3.7387,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.23929,0.25,0.3,0.34,0.149,0.2082,0.2953,4.0760000000000005,0.0
2012-01-04,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.2946,3.25,4.1,0.7,3.4498,2.0,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,510.0,125952.97,5.8,126.45,1106.0,15603.1,74.1,103.9,2169.39,2298.7529999999997,8695.987,-1.365225,-2.003161,-2.498415,-30.026999999999997,-46.989,-222.829,49.245537,34.344567,34.163503000000006,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,3.5009,4.0760000000000005,4.7516,4.9,5.943,5.9267,6.2,6.6726,5.85,5.4139,4.7822,4.3639,5.3204,4.5128,3.9377,650.0,1690.0,200.0,3.53,5.47,3.6,6.3001,6.2946,6.2762,6.3013,117.68,22.9,113.8,125952.97,24564.7,5187.7319,3.7387,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.24643,0.25,0.3,0.34,0.15,0.2072,0.2953,4.0760000000000005,0.0
2012-01-05,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3017,3.25,4.1,0.7,3.4498,2.02,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,510.0,125952.97,5.8,126.3048716050394,1106.0,15603.1,74.1,103.9,2148.452,2276.385,8600.259,-0.9651559999999999,-0.9730489999999999,-1.10083,-20.938000000000002,-22.368000000000002,-95.728,58.743446999999996,43.01648,38.634595000000004,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,4.0024,4.4785,4.9273,5.0743,5.8591,5.8092,6.2,6.6726,5.85,5.2286,4.762,4.3495,5.2448,4.5971,3.9727,650.0,1690.0,200.0,3.53,5.47,3.6,6.3115,6.3017,6.2802,6.3053,117.68,22.9,113.8,125952.97,24564.7,5105.4392,4.1804,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.25,0.32786,0.34143,0.36214,0.1495,0.2062,0.2953,4.4785,0.0
2012-01-06,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3095,3.25,4.1,0.7,3.4155,1.98,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,510.0,125952.97,5.8,126.15,1106.0,15603.1,74.1,103.9,2163.395,2290.601,8634.418,0.695524,0.624499,0.39718600000000004,14.943,14.216,34.159,50.583054,35.198992,33.966195,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,4.0043,4.3063,4.6548,5.0723,5.9578,5.9623,6.2,6.6726,5.85,5.1117,4.7858,4.3791,5.1828,4.6863,4.0251,650.0,1690.0,200.0,3.53,5.47,3.6,6.3166,6.3095,6.2911,6.3163,117.68,22.9,113.8,125952.97,24564.7,4967.7236,4.2162,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.15070999999999998,0.30357,0.33143,0.36,0.149,0.2062,0.2963,4.3063,0.0
2012-01-09,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3146,3.25,4.1,0.7,3.4008,1.98,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,-256.6086849999382,125952.97,5.8,125.9916925924409,1106.0,15603.1,74.1,103.9,2225.89,2368.57,8946.085,2.888747,3.4038660000000003,3.609589,62.495,77.969,311.66700000000003,76.759839,54.727341,47.651475,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,4.0031,4.519,4.5417,5.0973,5.8963,5.9893,6.2,6.6726,5.702036312998477,4.8734,4.7703,4.3862,4.963,4.7402,4.0671,650.0,1690.0,200.0,3.53,5.47,3.6,6.3236,6.3146,6.2921,6.3174,117.68,22.9,113.8,125952.97,24564.7,4431.6847,4.1624,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.15,0.27929,0.30071,0.35929,0.149,0.2062,0.2963,4.519,0.0
2012-01-10,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.315,3.25,4.1,0.7,3.4375,2.0,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,-517.2115799999176,125952.97,5.8,125.8362567899212,1106.0,15603.1,74.1,103.9,2285.744,2447.349,9281.245,2.688992,3.326015,3.746443,59.854,78.779,335.16,109.585415,81.154989,73.676108,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,3.7033,4.0835,4.525,5.1492,5.9464,5.8449,5.9336,6.6726,5.5,4.6811,4.7897,4.4142,4.7461,4.8184,4.1169,650.0,1690.0,200.0,3.53,5.47,3.6,6.3171,6.315,6.2991,6.3244,117.68,22.9,113.8,125952.97,24564.7,4590.3869,3.8562,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.17786,0.25,0.3,0.36,0.15,0.2042,0.2958,4.0835,0.0
2012-01-11,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3155,3.25,4.1,0.7,3.4195,1.93,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,-372.51013249992843,125952.97,5.8,125.69,1106.0,15603.1,74.1,103.9,2276.0460000000003,2435.6079999999997,9239.213,-0.424282,-0.47974399999999995,-0.45287,-9.698,-11.741,-42.032,84.441781,58.705674,62.72701899999999,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,3.2487,3.9949,4.7433,5.8521,5.9519,5.5071,5.3,6.6726,5.316945530502287,4.2959,4.7173,4.3933,4.2964,4.8084,4.1441,650.0,1690.0,200.0,3.53,5.47,3.6,6.3155,6.3155,6.2981,6.3234,117.68,22.9,113.8,125952.97,24564.7,5047.2026,3.6558,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.14929,0.24356999999999998,0.3,0.36,0.149,0.2042,0.2947,3.9949,0.0
2012-01-12,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3178,3.25,4.1,0.7,3.4156,1.94,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,76.79421000004095,125952.97,5.8,125.5741979942127,1106.0,15603.1,74.1,103.9,2275.01,2435.219,9200.926,-0.045518,-0.015971,-0.414397,-1.036,-0.389,-38.287,71.569994,47.121275,51.457390999999994,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,3.4889,4.1816,5.5251,5.9782,5.8308,6.0962,5.6643,6.6726,5.2259273740030485,4.2545,4.6231,4.3657,4.2798,4.7623,4.1695,650.0,1690.0,200.0,3.53,5.47,3.6,6.3229999999999995,6.3178,6.3031,6.3284,117.68,22.9,113.8,125952.97,24564.7,5431.4662,3.7895,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.1,0.21857,0.28,0.36,0.147,0.2037,0.2896,4.1816,0.0
2012-01-13,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3066,3.25,4.1,0.7,3.4249,1.89,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,730.0,125952.97,5.8,125.57,1106.0,15603.1,74.1,103.9,2244.58,2394.334,9030.588,-1.337577,-1.6789040000000002,-1.851314,-30.43,-40.885,-170.338,71.474322,45.513996999999996,50.289446000000005,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,4.6771,4.8975,6.1147,6.2508,6.2316,6.4375,6.3835,6.6726,5.3,4.2032,4.5474,4.3648,4.2186,4.7007,4.2173,650.0,1690.0,200.0,3.53,5.47,3.6,6.3201,6.3066,6.3041,6.3294,117.68,22.9,113.8,125952.97,24564.7,4746.8241,4.8604,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.1,0.2,0.28,0.36,0.146,0.2015,0.2851,4.8975,0.0
2012-01-16,-8000.0,555253.05,97253.06,14566.35,19.0,21.0,2.8,99.73598,11305.0,6.3165,3.25,4.1,0.7,3.4279,1.89,99.97,135.0,46467.0,4950.0,16.3,4.63,0.97,1.22,1.68,5.75,5.04,118.43,4.1,110.58,110.534195,21188.8252,1486.4057899999586,125952.97,5.8,125.72,1106.0,15603.1,74.1,103.9,2206.1929999999998,2345.649,8827.474,-1.710209,-2.0333419999999998,-2.2491779999999997,-38.387,-48.685,-203.114,45.859522,30.527145,33.54945,2727.09,135404.0,12.1,7.15,1116179.0,1042441.0,5.5826,6.1644,6.4588,6.5767,7.0821,6.9455,6.9929,6.6726,5.659,4.3563,4.5521,4.4358,4.3361,4.6496,4.2894,650.0,1690.0,200.0,3.53,5.47,3.6,6.3306,6.3165,6.2961,6.3214,117.68,22.9,113.8,125952.97,24564.7,4127.1057,5.8434,27.4,55.1,43.4,71.1,47.5,79.1,83.3,65.1,0.09857,0.18070999999999998,0.28,0.36,0.146,0.2005,0.2816,6.1644,0.0
